site_id,lat,lon,is_existing,got_tower,got_wisp,tower_year,wisp_year
449,13.29,-87.037,1,0,0,0,0
450,13.291,-87.038,1,0,0,0,0
451,13.28,-87.021,1,0,0,0,0
452,13.295,-87.33,1,0,0,0,0
453,13.301,-87.332,1,0,0,0,0
454,13.302,-87.329,1,0,0,0,0
455,13.295,-87.322,1,0,0,0,0
456,13.297,-87.321,1,0,0,0,0
457,13.305,-87.221,1,0,0,0,0
464,13.297,-87.213,1,0,0,0,0
466,13.302,-87.218,1,0,0,0,0
467,13.309,-87.22,1,0,0,0,0
471,13.295,-87.192,1,0,0,0,0
476,13.298,-87.197,1,0,0,0,0
484,13.299,-87.203,1,0,0,0,0
499,13.301,-87.202,1,0,0,0,0
500,13.301,-87.203,1,0,0,0,0
516,13.302,-87.199,1,0,0,0,0
518,13.303,-87.194,1,0,0,0,0
520,13.295,-87.177,1,0,0,0,0
523,13.296,-87.18,1,0,0,0,0
524,13.296,-87.18,1,0,0,0,0
525,13.296,-87.18,1,0,0,0,0
529,13.298,-87.185,1,0,0,0,0
530,13.298,-87.185,1,0,0,0,0
531,13.298,-87.185,1,0,1,0,5
533,13.299,-87.178,1,0,0,0,0
536,13.3,-87.177,1,0,0,0,0
539,13.3,-87.176,1,0,0,0,0
541,13.301,-87.182,1,0,0,0,0
543,13.301,-87.188,1,0,0,0,0
544,13.301,-87.183,1,0,0,0,0
553,13.302,-87.187,1,0,0,0,0
557,13.302,-87.187,1,0,0,0,0
558,13.302,-87.187,1,0,0,0,0
559,13.302,-87.187,1,0,0,0,0
561,13.303,-87.188,1,0,0,0,0
563,13.303,-87.187,1,0,0,0,0
566,13.303,-87.187,1,0,0,0,0
567,13.303,-87.187,1,0,0,0,0
571,13.299,-87.17,1,0,0,0,0
586,13.305,-87.162,1,0,0,0,0
587,13.306,-87.174,1,0,0,0,0
602,13.296,-87.157,1,0,0,0,0
606,13.303,-87.156,1,0,0,0,0
613,13.301,-87.115,1,0,0,0,0
614,13.296,-87.113,1,0,0,0,0
615,13.298,-87.113,1,0,0,0,0
616,13.304,-87.109,1,0,0,0,0
617,13.304,-87.106,1,0,0,0,0
618,13.304,-87.106,1,0,0,0,0
619,13.304,-87.077,1,0,0,0,0
624,13.318,-87.266,1,0,0,0,0
625,13.316,-87.253,1,0,0,0,0
626,13.322,-87.244,1,0,0,0,0
629,13.32,-87.231,1,0,0,0,0
633,13.311,-87.22,1,0,0,0,0
636,13.315,-87.206,1,0,0,0,0
637,13.316,-87.205,1,0,0,0,0
