id,name,lat,lon,dept,municipio,connected,year,had_dev,got_dev
161900021,JOSE CECILIO DEL VALLE,15.04255291,-88.39295258,Santa Bárbara,San José de Colinas,1,5,0,1
161900009,VICENTE CACERES,15.05998985,-88.38836843,Santa Bárbara,San José de Colinas,1,5,0,1
161900002,JORGE PINTO,15.06816217,-88.39553763,Santa Bárbara,San José de Colinas,1,5,1,0
161900043,DR. RAMON ROSA,15.0583747,-88.37454471,Santa Bárbara,San José de Colinas,1,5,1,0
161900116,Flores del campo,15.04215875,-88.35501053,Santa Bárbara,San José de Colinas,1,5,0,1
161900039,ESTEBAN GUARDIOLA,15.04231956,-88.35381168,Santa Bárbara,San José de Colinas,1,5,0,1
161900036,JOSE ISRAEL RODRIGUEZ,15.08926233,-88.34109315,Santa Bárbara,San José de Colinas,1,5,0,1
161900051,SONRISAS INFANTILES,15.0887445,-88.37171623,Santa Bárbara,San José de Colinas,1,5,0,1
161900022,CONCEPCION BU,15.08811867,-88.37057722,Santa Bárbara,San José de Colinas,1,5,1,0
161900029,GRACIELA BOGRAN,15.09904127,-88.36699092,Santa Bárbara,San José de Colinas,1,5,1,0
161900033,REPUBLICA DE HOLANDA,15.100203,-88.33744958,Santa Bárbara,San José de Colinas,1,5,0,1
161900003,DIONISIO DE HERRERA,15.1114068,-88.33669166,Santa Bárbara,San José de Colinas,1,5,0,1
161900012,JUAN LINDO,15.1066198,-88.33147,Santa Bárbara,San José de Colinas,1,5,1,0
161900071,FRANCISCO MORAZAN,15.09250486,-88.32307399,Santa Bárbara,San José de Colinas,1,5,1,0
161900005,MARCO CARIAS REYES,15.08712932,-88.31329085,Santa Bárbara,San José de Colinas,1,5,1,0
162600063,BRISAS DEL CAFETAL,15.11256326,-88.31052561,Santa Bárbara,Trinidad,1,5,0,1
162600019,FEDERICO FAJARDO BUEZO,15.1183977,-88.27018806,Santa Bárbara,Trinidad,1,5,0,1
161900102,PROF. RAFAEL PINEDA PONCE,15.06808718,-88.25525603,Santa Bárbara,San José de Colinas,1,5,1,0
161900072,MARTA CONCEPCION DE GUERRA,15.03913589,-88.26475066,Santa Bárbara,San José de Colinas,1,5,0,1
161900007,LEONIDAS RIVERA,15.04449686,-88.25975008,Santa Bárbara,San José de Colinas,1,5,1,0
161900019,LUCIO ANIBAL RIVERA,15.043539,-88.30137815,Santa Bárbara,San José de Colinas,1,5,0,1
161900008,LUCIO RIVERA,15.03997802,-88.29971951,Santa Bárbara,San José de Colinas,1,5,1,0
161900060,MUNDO INFANTIL,15.03836727,-88.30476033,Santa Bárbara,San José de Colinas,1,5,0,1
161900058,SAN JOSE,15.0495262,-88.30866983,Santa Bárbara,San José de Colinas,1,5,0,1
161900023,MARIA GUZMAN DE CABALLERO,15.05149781,-88.30691452,Santa Bárbara,San José de Colinas,1,5,1,0
161900010,ADOLFO FLORES,15.049995,-88.32756444,Santa Bárbara,San José de Colinas,1,5,1,0
161400011,REPUBLICA DE BELGICA,14.99664914,-88.3130346,Santa Bárbara,Nueva celilac,1,5,0,1
160100159,SONRRISAS INFANTILES,14.99375867,-88.29848216,Santa Bárbara,Santa Barbara,1,5,0,1
161900016,GLORIA ISMENIA PINEDA,15.01820358,-88.3042937,Santa Bárbara,San José de Colinas,1,5,1,0
161900044,BRISAS DEL ULUA,15.00739567,-88.25390593,Santa Bárbara,San José de Colinas,1,5,0,1
161900013,RAUL ZALDIVAR,15.01056498,-88.25125526,Santa Bárbara,San José de Colinas,1,5,1,0
161400017,WENCESLAO CABALLERO LEIVA,14.98033984,-88.30404558,Santa Bárbara,Nueva celilac,1,5,0,1
161400013,EL PORVENIR,14.98445433,-88.33034908,Santa Bárbara,Nueva celilac,1,5,0,1
161400002,WENCESLAO CABALLERO,14.98412707,-88.32756671,Santa Bárbara,Nueva celilac,1,5,0,1
161400055,NUEVO CELILAC,14.97563701,-88.3310664,Santa Bárbara,Nueva celilac,1,5,1,0
161400018,ADOLFO FLORENTINO PINEDA,14.95823445,-88.32367888,Santa Bárbara,Nueva celilac,1,5,0,1
161400005,JOSE ANGEL TERUEL,14.95773103,-88.3216396,Santa Bárbara,Nueva celilac,1,5,1,0
162200111,VICTOR ROLANDO SABILLON,14.95285549,-88.32223267,Santa Bárbara,San Nicolas,1,5,0,1
161400036,TEODOLINDA ANDERSON,14.9552739,-88.33381367,Santa Bárbara,Nueva celilac,1,5,0,1
161400006,FRANCISCO MORAZAN,14.96327979,-88.35575962,Santa Bárbara,Nueva celilac,1,5,0,1
162000095,INDEPENDENCIA,15.0191172,-88.4189337,Santa Bárbara,San Luis,1,5,0,1
161400008,FRANCISCO MORAZAN,14.98569995,-88.42050789,Santa Bárbara,Nueva celilac,1,5,1,0
161400025,NUEVO AMANECER,14.9862849,-88.41947031,Santa Bárbara,Nueva celilac,1,5,0,1
161400046,TEODOLINDA ANDERSON MEJIA,14.9697082,-88.38557239,Santa Bárbara,Nueva celilac,1,5,0,1
161400004,MARIANO LEIVA,14.96807779,-88.38315375,Santa Bárbara,Nueva celilac,1,5,0,1
161400052,RAMON ZUNIGA PERALTA,14.96456987,-88.40694277,Santa Bárbara,Nueva celilac,1,5,0,1
161400012,RENE PINEDA MEJIA,14.96759095,-88.41682747,Santa Bárbara,Nueva celilac,1,5,0,1
161400010,MIGUEL PAZ BARAHONA,14.95478263,-88.43855459,Santa Bárbara,Nueva celilac,1,5,1,0
161400014,J.N. RAFAEL PINEDA PONCE,14.96178443,-88.46746047,Santa Bárbara,Nueva celilac,1,5,0,1
161400003,DIONISIO DE HERRERA,14.96034728,-88.46745999,Santa Bárbara,Nueva celilac,1,5,0,1
161400048,TEODOLINDA ANDERZON,14.95162995,-88.45821533,Santa Bárbara,Nueva celilac,1,5,0,1
161400051,RAMON ZUNIGA PERALTA,15.00430683,-88.44270734,Santa Bárbara,Nueva celilac,1,5,0,1
162000098,PEDRO NUFIO,15.01072577,-88.43962575,Santa Bárbara,San Luis,1,5,0,1
162000197,UNION Y ESFUERZO,15.03774065,-88.45974759,Santa Bárbara,San Luis,1,5,1,0
162000050,JARDIN DE NIÑOS NUEVO AMANECER,15.04589525,-88.446763,Santa Bárbara,San Luis,1,5,1,0
162000015,FRANCISCO MORAZAN,15.05860617,-88.43354742,Santa Bárbara,San Luis,1,5,1,0
162000072,MARIA ANDURAY,15.08458057,-88.43256784,Santa Bárbara,San Luis,1,5,0,1
162000004,ESCUELA AUGUSTO C COELLO,15.08429282,-88.43233334,Santa Bárbara,San Luis,1,5,1,0
162000041,RAFAEL ORLANDO RIVERA,15.09959982,-88.42589556,Santa Bárbara,San Luis,1,5,0,1
162000010,ESCUELA RAFAEL BARDALES BUESO,15.08599656,-88.48911029,Santa Bárbara,San Luis,1,5,1,0
162000021,ESCUELA JUAN LINDO,15.09095365,-88.47607422,Santa Bárbara,San Luis,1,5,0,1
162000019,ESCUELA LUIS LANDA,15.10791914,-88.47466564,Santa Bárbara,San Luis,1,5,1,0
