site_id,lat,lon,is_existing,got_tower,got_wisp,tower_year,wisp_year
8073,14.9877,-88.8508,1,0,0,0,0
8075,14.8388,-89.1552,1,0,0,0,0
8101,14.9292,-88.9649,1,0,0,0,0
8103,14.9541,-88.9052,1,0,1,0,5
8122,14.896,-89.0291,1,0,1,0,5
8128,14.931,-88.9417,1,0,0,0,0
8144,15.0243,-88.9822,1,0,1,0,5
8150,14.9321,-88.9523,1,0,1,0,5
8162,14.9358,-88.9229,1,0,0,0,0
8168,14.5892,-88.8682,1,0,1,0,5
8169,14.6376,-88.8781,1,0,0,0,0
8171,14.7665,-88.7833,1,0,0,0,0
8175,14.6645,-88.8702,1,0,1,0,5
8201,14.6698,-88.8484,1,0,1,0,5
8202,14.7667,-88.7836,1,0,1,0,5
8222,14.7756,-88.775,1,0,0,0,0
8223,14.651,-88.8772,1,0,0,0,0
8235,14.8594,-88.8339,1,0,0,0,0
8251,14.5747,-88.8696,1,0,1,0,5
8274,15.0228,-88.9831,1,0,0,0,0
8281,14.6113,-88.8853,1,0,0,0,0
8288,14.7779,-88.776,1,0,0,0,0
8345,14.6746,-88.8284,1,0,0,0,0
8358,14.7659,-88.7814,1,0,1,0,5
8395,14.9354,-88.9255,1,0,0,0,0
8418,15.0297,-88.865,1,0,0,0,0
8419,14.7644,-88.7788,1,0,0,0,0
8421,14.6372,-88.8929,1,0,0,0,0
8447,14.8956,-89.0298,1,0,0,0,0
8475,15.0263,-88.8677,1,0,1,0,5
8512,14.7776,-88.7757,1,0,1,0,5
8518,14.9109,-89.0031,1,0,0,0,0
8526,14.9543,-88.9072,1,0,0,0,0
8631,14.7684,-88.7831,1,0,0,0,0
8681,14.5738,-88.8699,1,0,0,0,0
8690,14.9181,-88.9851,1,0,1,0,5
8871,14.6423,-88.8906,1,0,1,0,5
9099,14.7588,-88.7763,1,0,0,0,0
9101,14.7651,-88.7804,1,0,0,0,0
9491,14.6766,-89.0546,0,1,1,3,5
9527,14.7766,-89.1546,0,1,1,5,5
9529,14.7766,-88.9546,0,1,1,3,5
9619,14.9766,-89.1546,0,1,1,3,5
9670,15.0766,-89.0546,0,1,1,3,5
9671,15.0766,-88.9546,0,1,1,5,5
9721,15.1766,-88.8546,0,1,1,3,5
9722,15.1766,-88.7546,0,1,1,2,5
9772,15.2766,-88.7546,0,1,1,4,5
9262,13.8766,-88.4546,0,1,1,2,5
9279,13.9766,-88.3546,0,1,1,5,5
9280,13.9766,-88.2546,0,1,1,5,5
9302,14.0766,-88.2546,0,1,1,4,5
9326,14.1766,-88.2546,0,1,1,3,5
9327,14.1766,-88.1546,0,1,1,3,5
9357,14.2766,-88.3546,0,1,1,4,5
9358,14.2766,-88.2546,0,1,1,4,5
9360,14.2766,-88.0546,0,1,1,3,5
9390,14.3766,-88.2546,0,1,1,4,5
9391,14.3766,-88.1546,0,1,1,5,5
9393,14.3766,-87.9546,0,1,1,4,5
9424,14.4766,-88.2546,0,1,1,2,5
9426,14.4766,-88.0546,0,1,1,3,5
9427,14.4766,-87.9546,0,1,1,5,5
9428,14.4766,-87.8546,0,1,1,4,5
9459,14.5766,-88.2546,0,1,1,5,5
9460,14.5766,-88.1546,0,1,1,5,5
9461,14.5766,-88.0546,0,1,1,5,5
8552,13.8812,-87.7083,1,0,0,0,0
8553,13.956,-87.698,1,0,0,0,0
8554,13.9557,-87.6902,1,0,0,0,0
8555,14.0036,-87.6771,1,0,0,0,0
8560,14.2858,-87.6137,1,0,1,0,5
8738,13.8881,-87.7105,1,0,1,0,5
8739,13.8939,-87.7025,1,0,0,0,0
8740,13.9024,-87.6969,1,0,1,0,5
8741,13.9291,-87.6982,1,0,0,0,0
8742,13.9359,-87.7009,1,0,1,0,5
8743,13.9603,-87.6991,1,0,1,0,5
8744,13.9733,-87.686,1,0,1,0,5
8745,13.9914,-87.6864,1,0,0,0,0
8746,14.0103,-87.6754,1,0,0,0,0
8789,13.8646,-87.6968,1,0,0,0,0
8790,13.944,-87.701,1,0,0,0,0
8791,14.0187,-87.6748,1,0,1,0,5
9070,14.2802,-87.6133,1,0,0,0,0
9080,13.9119,-87.7012,1,0,0,0,0
9081,13.9457,-87.7006,1,0,0,0,0
9082,13.9986,-87.6821,1,0,1,0,5
9083,14.0204,-87.6745,1,0,0,0,0
9211,13.8532,-87.698,1,0,0,0,0
9281,13.9766,-88.0546,0,1,1,3,5
9282,13.9766,-87.9546,0,1,1,3,5
9283,13.9766,-87.8546,0,1,1,4,5
9303,14.0766,-88.1546,0,1,1,3,5
9304,14.0766,-88.0546,0,1,1,3,5
9305,14.0766,-87.9546,0,1,1,3,5
9307,14.0766,-87.7546,0,1,1,5,5
9328,14.1766,-88.0546,0,1,1,3,5
9329,14.1766,-87.9546,0,1,1,3,5
9330,14.1766,-87.8546,0,1,1,4,5
9361,14.2766,-87.9546,0,1,1,5,5
9362,14.2766,-87.8546,0,1,1,4,5
9363,14.2766,-87.7546,0,1,1,4,5
9394,14.3766,-87.8546,0,1,1,4,5
1277,15.582,-86.133,1,0,0,0,0
1278,15.583,-86.133,1,0,0,0,0
1280,15.583,-86.132,1,0,1,0,5
6498,15.524,-86.629,1,0,0,0,0
6948,15.544,-87.352,1,0,1,0,5
9885,15.5766,-87.4546,0,1,1,1,5
9887,15.5766,-87.1546,0,1,1,1,5
9893,15.5766,-86.5546,0,1,1,1,5
9921,15.6766,-87.6546,0,1,1,3,5
9922,15.6766,-87.5546,0,1,1,1,5
9923,15.6766,-87.4546,0,1,1,1,5
9924,15.6766,-87.3546,0,1,1,3,5
9925,15.6766,-87.2546,0,1,1,1,5
9926,15.6766,-87.1546,0,1,1,1,5
9928,15.6766,-86.9546,0,1,1,3,5
9929,15.6766,-86.8546,0,1,1,1,5
9930,15.6766,-86.7546,0,1,1,5,5
9931,15.6766,-86.6546,0,1,1,3,5
9933,15.6766,-86.4546,0,1,1,3,5
9954,15.7766,-87.7546,0,1,1,3,5
9955,15.7766,-87.6546,0,1,1,5,5
9957,15.7766,-87.4546,0,1,1,3,5
9959,15.7766,-87.2546,0,1,1,5,5
9960,15.7766,-87.1546,0,1,1,1,5
9962,15.7766,-86.7546,0,1,1,5,5
9964,15.7766,-86.5546,0,1,1,1,5
9965,15.7766,-86.4546,0,1,1,1,5
1194,15.505,-86.23,1,0,0,0,0
1198,15.512,-86.224,1,0,1,0,5
1201,15.515,-86.231,1,0,0,0,0
1203,15.515,-86.231,1,0,0,0,0
1205,15.515,-86.224,1,0,0,0,0
1208,15.516,-86.224,1,0,0,0,0
1210,15.516,-86.223,1,0,1,0,5
1214,15.517,-86.223,1,0,0,0,0
1216,15.518,-86.223,1,0,0,0,0
1218,15.519,-86.231,1,0,0,0,0
1220,15.519,-86.23,1,0,1,0,5
1221,15.519,-86.231,1,0,0,0,0
1230,15.523,-86.232,1,0,1,0,5
